charge,species,alpha
0,H-N(-C-C-N(-H)-H)-H,7.08
0,C-O-C-C,6.859
0,C-C(-O-H)-C,6.758
0,C-C-C(=O)-N(-H)-H,7.6
0,O=C-C=C-C=C,11.447
0,C1=C-O-C(-C)=C1,9.572
0,C-N(-N(=O)=O)-C,7.333
0,O=N(-N(=O)-C)-C,8.646
0,C1=C-N=C-C(-O-H)=C1,9.466
0,C1=C-C=N-C(-O-H)=C1,9.36
0,C1=N-C=C-C(-O-H)=C1,9.305
0,C1=N-C-C(=O)-C=C1,9.196
0,C1-N=C-C(=O)-C=C1,9.305
0,C1=C-N=C-C(=O)-C1,9.253
0,C1=N-C(=O)-C=C-C1,9.234
0,C1=N-C(=O)-C-C=C1,9.149
0,C1=N-C=C-C(=O)-C,9.246
0,C1=C(-F)-C=C-C(-F)=C1,10.224
0,C-C-C-S-H,8.275
0,C-S-C-C,8.32
0,C-O-S(=O)-O-C,8.07
0,C1-S-C-S-C-S1,14.419
0,C-S-C(=S)-S-C,14.419
0,C1-S-C=C(-O-H)-C1,9.6
0,C1=C(-O-H)-C-S-C1,9.488
0,C1=C(-O-H)-S-C-C1,9.63
0,C1=C-S-C(-O-H)-C1,9.605
0,F-S(-F)(-F)(-F)(-S(-F)(-F)(-F)(-F)-F)-F,9.163
0,C-C=C(-Cl)-C,8.968
0,C-C=C(-Cl)-C,8.975
0,C1=C(-Cl)-C=C-C(-Cl)=C1,14.765
0,C1=C(-Cl)-C=C(-Cl)-C=C1,14.712
0,C1=C-C(-Cl)=C(-Cl)-C=C1,14.712
0,C-C=C-C=C,9.857
0,C-C=C-C=C,10.462
0,C=C=C-C-C,8.952
0,C=C(-C)-C=C,9.987
0,C=C=C(-C)-C,9.951
0,C1-C2-C-C2-C1,8.424
0,C1-C=C-C-C1,8.127
0,C-P(-C)-C,10.16
0,C-As(-C)-C,9.823
0,C-Al(-C)-C,10.214
0,H-Si(-H)(-N-(Si(-H)(-H)-H)-(Si(-H)(-H)-H))-H,12.939
0,H-S-C-C-C-S-H,12.4
0,C1=C-C-C=C-C1,9.472
0,C=C-C=C-C=C,9.472
0,C=C-C=C-C=C,13.432
0,C-C=C=C=C-C,12.481
0,C-C=C=C=C-C,13.4
0,C1=C-C2-C-C1-C2,9.235
0,C-C-C-C(=O)-O-H,8.684
0,C1-O-C-O-C-C1,8.335
0,C1-O-C-C-O-C1,7.885
0,C-O-C(=C)-O-C,9.183
0,C-C-O-C(=O)-C,8.707
0,C1-C(-C1)-C(=O)-C,9.272
0,C1-C-C-C(=O)-C1,8.969
0,C1-C=C-O-C-C1,8.628
0,C-C-N(-H)-C(=O)-N(-H)-H,8.152
0,C-N(-H)-C(=O)-N(-H)-C,8.152
0,C-S(=O)(=O)-C-C,9.024
0,Cl-C-C-C-Cl,10.757
0,C-C(-Cl)-C-C-Cl,10.655
0,C-C-C(-Cl)-C-Cl,10.679
0,C1-C(-C)(-C)-C1,8.634
0,C-C-C(-C)=C,9.567
0,C=C-C-C-C,9.677
